dia	mes	agno	personaje	texto
1	5	2021	121	1 de maig de 2013. Va arrencar el projecte EMTASY per determinar el mecanisme que posiciona el cor a l'esquerra. Va ser dirigit per Ángela Nieto Toledano i va ajudar a entendre moltes malformacions congènites.
2	5	2021	122	2 de maig de 1997. L'equip científic d'Atapuerca va obtenir el premi Príncep d'Astúries d'Investigació Científica i Tècnica pel descobriment de l'Homo antecessor. Aquest homínid va viure a Europa fa 800.000 anys.
3	5	2021	123	3 de maig de 1910. Va néixer l'arqueòloga Anne Strachan Robertson. És coneguda pels seus estudis del mur d'Antonino i les monedes imperials romanes.
4	5	2021	124	4 de maig de 1825. Va néixer el biòleg Thomas Huxley. Va ser el primer que va suggerir que les aus van evolucionar a partir dels dinosaures.
5	5	2021	125	5 de maig de 1882. Va néixer el metge i científic espanyol Pío del Río Ortega. Va descobrir la micròglia, un tipus de cèl·lula del sistema nerviós.
6	5	2021	126	6 de maig de 1840. Va sortir a la venda el primer segell adhesiu. Tenia el perfil de la reina Victoria del Regne Unit i era conegut com el "penny black".
7	5	2021	127	7 de maig de 1954. Va començar la construcció del Pont Mackinac a Michigan. Va ser el pont penjant més llarg del món en el seu moment.
8	5	2021	128	8 de maig de 1980. L'OMS va certificar l'erradicació de la verola. Aquesta fita es va aconseguir gràcies a la vacunació.
9	5	2021	129	9 de maig de 1882. William H. Ford va patentar el disseny d'un estetoscopi amb la forma que encara s'usa en l'actualitat.
10	5	2021	130	10 de maig de 1888. Va néixer l'hematòloga Lucy Wills. Va descobrir un factor nutricional en el llevat que prevé i cura l'anèmia macrocítica en l'embaràs. Es coneix com el factor de Wills o folat, la forma natural de l'àcid fòlic.
11	5	2021	131	11 de maig de 2001. Va tenir lloc un terratrèmol a Lorca (Murcia) amb una magnitud de 5,2 Mw. Va causar un gran impacte, amb 9 víctimes mortals i quantiosos danys materials.
12	5	2021	132	12 de maig de 1910. Va néixer la Premi Nobel Dorothy Crowfoot Hodgkin. Va determinar l'estructura 3D de molècules com la penicil·lina o la insulina. L'estructura 3D és clau per entendre les funcions.
13	5	2021	133	13 de maig de 1857. Va néixer el bacteriòleg Ronald Ross. Va descobrir que la malària es transmet pel mosquit Anopheles.
14	5	2021	134	14 de maig de 1899. Va néixer la biòloga Charlotte Auerbach. Es va especialitzar en zoologia i genètica, i va contribuir a descobrir la mutagènesi i els seus efectes. Es va fer cèlebre el 1942 quan va posar de manifest, juntament amb Alfred Joseph Clark i J. M. Robson, que el gas mostassa podia causar mutacions.
15	5	2021	135	15 de maig de 1925. Va néixer la genetista Mary Frances Lyon. Va descobrir la lionització del cromosoma X, un fenomen mitjançant el qual s'inactiva una de les dues còpies del cromosoma X en les cèl·lules de les femelles mamíferes.
16	5	2021	136	16 de maig de 1919. Va néixer l'oceanògraf i ecòleg Ramon Margalef. Va introduir la Teoria de la Informació en Ecologia i l'índex de Shannon-Weaver com a mesura de diversitat.
17	5	2021	137	17 de maig de 1749. Va néixer l'immunòleg Edward Jenner. Va aconseguir la primera vacuna de la història, concretament contra la verola.
18	5	2021	138	18 de maig de 2012. Es va celebrar el primer Dia Internacional de la Fascinació per les Plantes. El seu objectiu és reconèixer la importància de les plantes en la nostra vida, gràcies a la producció d'aliments per a persones i animals, paper, fusta, energia i productes farmacèutics.
19	5	2021	139	19 de maig de 2014. La NASA va començar la construcció del robot espacial InSight, que va aterrar a Mart el 2018.
20	5	2021	140	20 de maig de 1900. Va néixer la química i física Erika Cremer. Va ser pionera en cromatografia de gasos. No obstant això, el seu article de 1944 sobre el seu mètode no es va arribar a publicar perquè un bombardeig va destruir les proves d'impremta a la revista Naturwissenschaften.
21	5	2021	141	21 de maig de 1921. Va néixer el físic Andréi Sájarov. Va participar en el desenvolupament de bombes atòmiques en els anys 50. Posteriorment, va lluitar contra la proliferació d'armes nuclears i va ser guardonat amb el Premi Nobel de la Pau el 1975.
22	5	2021	142	22 de maig de 1960. Va tenir lloc el Gran Terratrèmol de Xile. És el terratrèmol de major magnitud que hagi estat registrat (9,5 en potència de magnitud de moment). Va provocar sismes submarins que van arribar a Hawaii, Japó i Rússia, i l'erupció del volcà Puyehue.
23	5	2021	143	23 de maig de 1954. Va néixer el biòleg Keith Campbell. Va ser una persona clau de l'equip que va clonar l'ovella Dolly a l'Institut Roslin d'Edimburg.
24	5	2021	144	24 de maig de 1878. Va néixer la psicòloga i enginyera Lillian Moller Gilbreth. És coneguda pel seu treball en l'aplicació de l'organització psicològica en la indústria.
25	5	2021	145	25 de maig de 1880. Va néixer el neuròleg Jean Alexandre Barré. Va identificar la síndrome de Guillain-Barré, una malaltia neurològica rara.
26	5	2021	146	26 de maig de 1872. Va néixer Trinidad Arroyo Villaverde. Va ser la primera oftalmòloga espanyola.
27	5	2021	147	27 de maig de 1931. Va néixer l'economista Philip Kotler. És considerat el pare del màrqueting modern.
28	5	2021	148	28 de maig de 1912. Va néixer l'astrònoma Ruby Violet Payne-Scott. Va estudiar la influència del camp magnètic de la Terra i les erupcions solars.
29	5	2021	149	29 de maig de 1826. Va néixer el sastre Ebenezer Butterick. Al costat de la seva dona, Ellen Augusta Pollard, van inventar i comercialitzar els patrons de costura moderns. Aquests patrons tenien graduacions amb múltiples talles estàndard.
30	5	2021	150	30 de maig de 2021. Dia Mundial de l'Esclerosi Múltiple. Se celebra cada any per compartir històries, conscienciar a la societat i fer campanyes amb i per a tots els afectats per aquesta malaltia.
31	5	2021	151	31 de maig de 1903. El físic Konstantin Tsiolkovsky va proposar per primera vegada que les persones podrien viatjar a l'espai usant coets.
1	6	2021	152	1 de juny de 1974. La revista Emergency Medicine va publicar la maniobra d'Heimlich. Aquesta operació permet desbloquejar les vies aèries obstruïdes per un objecte estrany.
2	6	2021	153	2 de juny de 1911. Els principals diaris es van fer ressò de l'electrificació del ferrocarril Gergal-Santa Fe de Mondújar. Va ser la primera línia de tren de via ampla electrificada d'Espanya.
3	6	2021	154	3 de juny de 1976. El cosmògraf Vicente Tofiño de San Miguel va observar el pas de Venus pel Sol durant un eclipsi. Va publicar unes anotacions de gran interès científic.
4	6	2021	155	4 de juny de 1927. Va tenir lloc el primer vol comercial de passatgers transatlàntic. El viatge es va produir a bord d'un Wright-Bellanca WB-2, des dels Estats Units fins a Alemanya.
